RECORD_ID,PUBLISHED_DATE,DATE_LAST_MODIFIED,AGENCY_ACRONYM,AGENCY_NAME,DATA_OWNER,DATASET_NAME,DATASET_SUMMARY,DATASET_CLASSIFICATION_NAME,DATASET_CLASSIFICATION_REASON,DATASET_TYPE,DATASET_CATEGORY,KEYWORDS,EARLIEST_DATE_OF_RECORDS,UPDATE_INTERVAL,INTEREST,DATASET_URL,OBJECTID,OPENDATA_PORTAL
4580,2018-03-11,,DCPL,DC Public Library,DCPL,Patron Catalog Transactions,"This dataset tracks the number of unique catalog transactions known as Checkouts, Renewals, and In-House usage by Branch and Month. The output of this dataset is used in reporting to calculate the relationship between active users and active items across the library system (""circulation"").",Public Not Proactively Released,This is a customized report pulled from multiple data sources representing an administrative burden.,Database,Public Services,"public service, Library, Books, Circulation, Transactions",2014-01-02,Quarterly,Occasional Requests,https://www.dclibrary.org/,1652,No
4581,2018-03-11,,DCPL,DC Public Library,DCPL,Meetings and Study Room Use,"Tracks the number of meetings, the number of meeting attendees, the number of study room sessions, and the number of study room attendees every month using a Google Form. The output of the Google Form is a dataset that reports the number of meetings, attendees, study room sessions, and study room session attendees by Branch and By Month.",Public Not Proactively Released,The dataset contains non-standardized responses that need to be reviewed for quality control and accuracy; may require subjective redaction. Customized reports represent an administrative burden.,Database,Public Services,"public service, Meetings, Study Sessions, Attendance",2015-10-01,Quarterly,Unknown,https://www.dclibrary.org/services/meetingrooms,1653,No
4582,2018-03-11,2017-12-11 00:00:00,DCPL,DC Public Library,DCPL,Gate Count,Vea Web is a database system that tracks the number of entries into each library facility using heat sensors on the door of each facility. This functionality allows DCPL to track the volume of library entries at each DCPL branch every hour. The output of this Vea Web database system is a dataset that is used to report branch visits.,Open,None.,Database,Public Services,"public service, Gate Count, Entries, Traffic, Visits",2014-10-01,Quarterly,Occasional Requests,,1654,No
4583,2018-03-11,,DCPS,DC Public Schools,DCPS - Chief of Staff,SY17-18 Department Chair Application,A QuickBase application for containing data for Washington Teachers' Union (WTU) staff to apply to serve as a Department Chair in their school. Principals review applications and select candidates to serve as Department Chairs.,Confidential,Sensitive but unclassified. Contains staff Personally Identifiable Information (PII),Database,Education,"principals, education",,Real-Time/Near Real-Time,Frequent Requests,,1655,No
4584,2018-03-11,,DCPS,DC Public Schools,DCPS - Chief of Staff,SY17-18 District Course Chair Roster,"A list of school-based staff members who serve as District Course Chairs for PD Day support in SY17-18, and the amount they should be paid for their services. District Course Chair names are submitted by central office content team leaders.",For District Government Use,Publication of data would impose undue administrative burden on the agency.,Spreadsheet,Education,"course, education",,Real-Time/Near Real-Time,Unknown,,1656,No
4613,2018-03-11,,DCPS,DC Public Schools,DCPS - Information Officer,Specialized Education Data (SPED),"Data hub for student demographics, special education data",Confidential,Contains Personal Health Information (PHI) with Individualized Education Program (IEP) information along with disability covered under Health Insurance Portability and Accountability Act (HIPAA) and Individuals with Disabilities Education Act (IDEA).,Database,Education,Education,,Daily,Occasional Requests,,1657,No
4614,2018-03-11,,DCPS,DC Public Schools,DCPS - Early Childhood Education,PreK teacher annual survey,Data of Annual PreK Teach survey (from Survey Monkey),Confidential,Sensitive but Unclassified,Database,Education,"education, survey data",,Yearly,Occasional Requests,surveymonkey.com,1658,No
4615,2018-03-11,,DCPS,DC Public Schools,DCPS - School Culture,DCPS Medicaid-eligible services data,"Data set at contains and collects related services and activity for general education students, including 504 students.  Maintains the record of crisis events that require mental health team response.",Confidential,Personally Identifiable Information (PII)  student data subject to Family Educational Rights and Privacy Act (FERPA) and Health Insurance Portability and Accountability Act (HIPAA).,Other,Health,Education,,Unknown,NULL,,1659,No
4616,2018-03-11,,DCPS,DC Public Schools,DCPS - Employee Services,"Talent Selection, Hiring, and Onboarding (TSHO)","Datasets track selection, hiring, and onboarding of new employees.",Confidential,The database includes current employee and applicant Personally Identifiable Information (PII).,Database,Administrative and Other Boundaries,Education,,Real-Time/Near Real-Time,No Requests,https://dcps.my.salesforce.com/00O/o,1660,No
4617,2018-03-11,,DCPS,DC Public Schools,DCPS - Office of the General Counsel,OGC Attorney Fee Data,Datasets contain all Individuals with Disabilities Education Act (IDEA) attorney's fees payments and settlement information.,Confidential,"Sensitive but unclassified; contains federal tax information, legally privileged",Database,Financial,"education, attorney",,Daily,Unknown,,1661,No
4618,2018-03-11,,DCPS,DC Public Schools,DCPS - Office of Data and Strategy,"School Directory, School Points of Contact","Datasets contain information about DCPS Central Office staff providing up-to-date school directory information, school points of contact and cluster information.",For District Government Use,Some data may be subject to FOIA Privacy exemption.,Database,Education,Education,,Quarterly,Occasional Requests,,1662,No
4619,2018-03-11,,DCPS,DC Public Schools,DCPS - Federal Programs and Grants,Warehouse,Datasets contain requests for schools and request furniture/item pick up and/or relocation to another school or warehouse,Public Not Proactively Released,Publication would pose an undue administrative burden on the agency,Database,Facility and Structure,Education,,Real-Time/Near Real-Time,Occasional Requests,,1663,No
4620,2018-03-11,,DCPS,DC Public Schools,DCPS - College and Career,Free Application for Federal Student Aid (FAFSA) Data,Download DCPS school progress towards FAFSA completion. Does not have student-level data.,For District Government Use,Contains DCPS Goal setting guidelines and progress for past school year - data could be deemed exempt from release under FOIA deliberative process exemption.,Database,Education,Education,,Unknown,NULL,,1664,No
4621,2018-03-11,,DCPS,DC Public Schools,DCPS - Pathways,Pathways Monthly Report,Each month a report is generated via DRT with information for all students at the schools with the Pathways program.,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,Education,Education,,Monthly,NULL,,1665,No
4585,2018-03-11,,DCPS,DC Public Schools,DCPS - Early Childhood Education,Hiring Tracker Data,"A series of Google Sheets used to track internal ECED hiring processes. Includes interview questions, interviewer notes, decision points (move candidate forward, reject a candidate, etc.).",Confidential,Sensitive but unclassified - data reflects agency internal deliberations. Exempt from disclosure under D.C. Code ? 2-534(a)(4).,Spreadsheet,Administrative and Other Boundaries,,,Unknown,NULL,,1666,No
4586,2018-03-11,,DCPS,DC Public Schools,DCPS - IMPACT,Insight School Sorter,"A set of Excel files (one per Insight administration, so two per year) that contains information per school about the results of the Insight Survey.
",Public Not Proactively Released,Publication would pose an undue administrative burden on the agency.,Database,Education,,,Yearly,Occasional Requests,,1667,No
4587,2018-03-11,,DCPS,DC Public Schools,DCPS - Office of the General Counsel,Employee Investigations Log,A tracker with information regarding all of the investigations of employee misconduct.,Confidential,Contains attorney-client privileged information.  Contains employee Personally Identifiable Information (PII) information.,Database,Administrative and Other Boundaries,Education,,Daily,Unknown,,1668,No
4588,2018-03-11,,DCPS,DC Public Schools,DCPS - Early Childhood Education,Title I Early Childhood Education (ECE) Teacher Collaborative Course Module Scores,All Early Childhood Education teachers and assistant teachers working at Title I schools are required to complete all of the online learning modules in the ECE Collaborative Course on Canvas.,Confidential,Contains Personally Identifiable Information (PII). Also includes performance data for teachers and assistant teachers.,Database,Education,Education,,Monthly,No Requests,,1669,No
4589,2018-03-11,,DCPS,DC Public Schools,DCPS - Talent Acquisition & Retention,"Talent Selection, Hiring and Onboarding (TSHO)  Educational Aide Application Status",All candidate information for Educational Aide candidates.,Confidential,Contains sensitive Personally Identifiable Information (PII) regarding employee/applicants. Some data may be subject to deliberative process exemption.,Database,Education,,,Unknown,Unknown,https://dcps.my.salesforce.com/00O0P000003TZUA,1670,No
4590,2018-03-11,,DCPS,DC Public Schools,DCPS - Early Childhood Education,"Line Item Budget, TMS",Allows budget & human capital POCs to view line item budget including personnel information.,Confidential,"Contains staff Personally Identifiable Information (PII), data likely shared with OCFO and DCHR. FOIA exemption D.C. Code ? 2-534(a)(4).",Database,Administrative and Other Boundaries,,,Unknown,NULL,,1671,No
4591,2018-03-11,,DCPS,DC Public Schools,DCPS - Specialized Instruction,DSI School Performance Rubric,Allows principals to track key special education compliance metrics.  Includes student-level information and summary reports of special education (SPED) compliance and is used by both central office and school staff.,Confidential,Contains student-level information subject to the Family Educational Rights and Privacy Act (FERPA).,Database,Education,,,Monthly,Frequent Requests,,1672,No
4592,2018-03-11,,DCPS,DC Public Schools,DCPS - Talent Acquisition & Retention,"Talent Selection, Hiring and Onboarding (TSHO) Application Status",Application data for all teacher candidates.,Confidential,Sensitive Personally Identifiable Information (PII) personnel data regarding applicants and employees. May contain data that is subject to deliberative process privilege that is exempt under D.C. Code ? 2-534(a)(4).,Database,Education,,,Daily,Occasional Requests,https://dcps.my.salesforce.com/00O0P000003TZTH,1673,No
4593,2018-03-11,,DCPS,DC Public Schools,DCPS - Content and Curriculum,Social Studies Assessment of Growth and Excellence (SAGE) Data,Assessment data from Social Studies Assessment.,Confidential,Could be shared but would require subjective redaction,Other,Education,"social studies, assessment data",,Unknown,NULL,,1674,No
4595,2018-03-11,,DCPS,DC Public Schools,DCPS - Specialized Instruction,Office of Specialized Instruction (OSI) Professional Development Data,"Before switching over to Whetstone, all DSI professional development information was housed in this QuickBase app.  It included training session information, trainer information, attendee information, and survey results.",Confidential,"Contains staff information- Personally Identifiable Information (PII) and survey responses, sensitive but unclassified. Exempt under D.C. Code ? 2-534(a)(4).",Database,Education,,,Static,Unknown,,1675,No
4596,2018-03-11,,DCPS,DC Public Schools,DCPS - Content and Curriculum,OSTP Billing Information,Billing application for Out of School Time Programs (OSTP) Afterschool Programs,Confidential,Contains personally identifiable student and parent data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,Administrative and Other Boundaries,Education,,Daily,No Requests,,1676,No
4597,2018-03-11,,DCPS,DC Public Schools,DCPS - Early Childhood Education,Classroom Assessment Scoring System (CLASS),CLASS: The Classroom Assessment Scoring System (CLASS?) assessment is a standardized measure of classroom quality in PreK programs.,For District Government Use,Trade Secret/Proprietary (covered by FOIA exception #1 ) 2-534 (a)(1) - Trade Secret.,Chart,Education,"Education, Schools",,Yearly,NULL,,1677,No
4598,2018-03-11,,DCPS,DC Public Schools,DCPS - Federal Programs and Grants,Candidate Hire,Candidate screening and hiring application,Confidential,"Contains employee/applicant Personally Identifiable Information (PII) , some data may be subject to deliberative process, D.C. Code ? 2-534(a)(4).",Database,Administrative and Other Boundaries,,,Real-Time/Near Real-Time,Occasional Requests,,1678,No
4599,2018-03-11,,DCPS,DC Public Schools,DCPS - Early Childhood Education,Child Outcome Summary,"The U.S. Department of Education's Office of Special Education Programs (OSEP) requires each state, including the District of Columbia, to report annually on 20 performance measures outlined in the State Performance Plan.  Indicator 7 relates to early childhood outcomes; DCPS and OSSE must collect and report child-level progress data from preschool local education agencies (LEA) special education programs in the areas of positive social-emotional skills (including social relationships), acquisition and use of knowledge and skills, and use of appropriate behaviors by the child to meet his or her needs.",Confidential,Contains Family Educational Rights and Privacy Act (FERPA) protected data.,Database,Education,"children, education, outcomes",,Quarterly,No Requests,N/A,1679,No
4600,2018-03-11,,DCPS,DC Public Schools,DCPS - School Operations,Free and Reduced Meal (FARM) Status,Client for managing Free and Reduced Meal (FARM) Applications filled out by parents through the HeartlandApps FARM application portal.,Confidential,Data likely shared with OSSE and Federal Government.  Contains student and parent and Personally Identifiable Information (PII).,Database,Education,Education,,Daily,Unknown,https://admin.nlappscloud.com/,1680,No
4601,2018-03-11,,DCPS,DC Public Schools,DCPS - College and Career,College and Career Coordinator Data,"College and Career Coordinators reference the student demographic, academic, and college application data to identify and tailor college and career supports.",Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Database,Education,Education,,Weekly,Frequent Requests,,1681,No
4602,2018-03-11,,DCPS,DC Public Schools,DCPS - School Culture,School Health Requirements Interagency Committee (SHRIC) Data Set,"Combines data from DCPS, DOH, and DHCF to identify gaps in primary physical and dental care and health form submission. These agencies collaborate with the School Health Requirements Interagency Committee (SHRIC).",Confidential,Contains Family Educational Rights and Privacy Act (FERPA) and protected health information (PHI)/Health Insurance Portability and Accountability Act (HIPAA) protected data regarding health information and insurance status. Should remain confidential.,Database,Health,Education,,Quarterly,Occasional Requests,,1682,No
4603,2018-03-11,,DCPS,DC Public Schools,DCPS - Federal Programs and Grants,Single Audit,Completed list compiled to verify and confirm submission of audit requests by DCPS office,Confidential,Sensitive but unclassified.,Database,Administrative and Other Boundaries,audit,,Quarterly,Occasional Requests,,1683,No
4604,2018-03-11,,DCPS,DC Public Schools,DCPS - Office of the General Counsel,Individuals with Disabilities Education Act (IDEA) Complaints,Contains all information related to the processing of due process Individuals with Disabilities Education Act (IDEA) complaints.,Confidential,Contains Personally Identifiable Information (PII) student information and attorney-client work product.,Other,Administrative and Other Boundaries,Education,,Daily,Unknown,https://www.blackmanjones.com/login,1684,No
4605,2018-03-11,,DCPS,DC Public Schools,DCPS - Office of the General Counsel,Risk Management,Contains all of the information on the settlement of risk claims.,Confidential,Confidential settlement information. Sensitive but unclassified. Legally privileged,Database,Financial,Education,,Weekly,Unknown,,1685,No
4606,2018-03-11,,DCPS,DC Public Schools,DCPS - Office of the General Counsel,DCPS Labor and Employment Database,Contains case information on all OGC Labor and Employment Cases.,Confidential,Attorney-client privileged information,Database,Administrative and Other Boundaries,Education,,Daily,Unknown,,1686,No
4607,2018-03-11,,DCPS,DC Public Schools,DCPS - Early Childhood Education,Early Childhood Education (ECE) Teacher/ Assistant Teacher Educational Qualifications,Contains educational qualification information for teachers and assistant teachers working in the Early Childhood Education.,Confidential,Teacher qualification information and scores. Contains Personally Identifiable Information (PII).,Database,Education,Education,,Quarterly,No Requests,,1687,No
4608,2018-03-11,,DCPS,DC Public Schools,DCPS - Office of the General Counsel,DCPS OGC Case Management Database,Contains information regarding all cases and legal matters being handled by OGC.,Confidential,Attorney-Client Privilege. Legally privileged - attorney work product.,Database,Administrative and Other Boundaries,case management,,Daily,Unknown,,1688,No
4609,2018-03-11,,DCPS,DC Public Schools,DCPS - Communications,Student and Parent Contact Information,"DCPS uses Blackboard Connect to send mass emails, robocalls, and texts. Every school has access to Blackboard Connect to send mass communications to Blackboard.",Confidential,Contains personally identifiable student and parent data that is protected by Family Educational Rights and Privacy Act (FERPA).,Unknown,Communication,Education,,Daily,No Requests,,1689,No
4611,2018-03-11,,DCPS,DC Public Schools,DCPS - School Performance & Continuous Improvement,School Performance Data Initiative Data,Data Dashboard that houses school level and student level data.  Uses source files to create visualizations for various metrics and users of different roles.,Confidential,Contains personally identifiable student data that is protected by Family Educational Rights and Privacy Act (FERPA).,Other,Education,Education,,Weekly,NULL,spdi.dcps.dc.gov,1690,No
4612,2018-03-11,,DCPS,DC Public Schools,DCPS - School Culture,Administration of Medication (AOM) Trained Staff,"Data about staff trained to administer medication, undesignated EpiPens, cardiopulmonary resuscitation (CPR), First Aid, and Automated External Defibrillators (AED).",For District Government Use,Information is shared regularly with schools (with employee ID and position redacted) and school-level information is shared with school community. Disclosure on public internet could expose District to litigation or legal liability. This data is protected under FOIA exemption 2-534(a)(4) - `?deliberative process privilege?.,Database,Health,"education, health, Administration of Medication",,Monthly,Frequent Requests,,1691,No
4516,2018-03-11,,ABRA,Alcoholic Beverage Regulation Administration,ABRA Licensing Division,Alcoholic Beverage Control Board Public Hearing Notices,"A Notice of Public Hearing informs the public of an application to issue, change or renew an ABC license.",Open,,Other,Business and Economic Development,"public hearings, ABC license hearing, ABC license renewal, ABC license application",,Weekly,Frequent Requests,https://abra.dc.gov/page/notices-public-hearing,1692,No
4517,2018-03-11,,ABRA,Alcoholic Beverage Regulation Administration,ABRA's Legal Division,Alcoholic Beverage Control Board Dispositions,Decisions issued by the Alcoholic Beverage Control Board.,Open,,Other,Business and Economic Development,"ABC Board decisions, ABC Board licensing decisions, ABC Board dispositions",,Weekly,Frequent Requests,https://abra.dc.gov/page/abc-board-dispositions,1693,No
4519,2018-03-11,,ABRA,Alcoholic Beverage Regulation Administration,ABRA's Legal Counsel,Alcoholic Beverage Control Board Orders,Orders issued by the Alcoholic Beverage Control Board.,Open,,Other,Business and Economic Development,"ABC Board orders, ABC Board decisions, Alcoholic Beverage Control Board decisions",,Weekly,Frequent Requests,https://abra.dc.gov/publications?after%5Bvalue%5D%5Bdate%5D=&before%5Bvalue%5D%5Bdate%5D=&keys=&type=722&sort_by=field_date_value&sort_order=DESC,1694,No
4520,2018-03-11,2017-12-13 00:00:00,ABRA,Alcoholic Beverage Regulation Administration,ABRA's Legal Division,Alcoholic Beverage Control Board Transcripts/Minutes,Transcripts of Alcoholic Beverage Control Board hearings.,Open,,Other,Business and Economic Development,"ABC Board hearings, ABC Board minutes, ABC Board transcripts",,Weekly,Frequent Requests,https://abra.dc.gov/publications?after%5Bvalue%5D%5Bdate%5D=&before%5Bvalue%5D%5Bdate%5D=&keys=&type=78&sort_by=field_date_value&sort_order=DESC,1695,No
4521,2018-03-11,2017-09-06 00:00:00,BEGA,Board of Ethics and Government Accountability,BEGA,Lobbyist Registration,All information collected by the application is accessible to the public.,Open,,Database,Government Operations,government operations,2003-01-01,Yearly,Occasional Requests,https://efiling.bega-dc.gov/efs/login.aspx,1696,No
4522,2018-03-11,2017-09-06 00:00:00,BEGA,Board of Ethics and Government Accountability,BEGA,Financial Disclosure,All information collected by the application is accessible to the public except Personally Identifiable Information (PII).,Open,,Database,Government Operations,government operations,2003-01-01,Yearly,Occasional Requests,https://efiling.bega-dc.gov/efs_forms/login.asp,1697,No
4525,2018-03-11,,BOE,Board of Elections,BOE,Alternate Polling Place,"District of Columbia Alternate Polling Places. This dataset contains points representing locations of alternate polling places, created as part of the DC Geographic Information System (DC GIS) for the D.C. Office of the Chief Technology Officer (OCTO) and participating D.C. government agencies. Alternate Polling places were identified from data provided by the Board of Elections and Ethics (BOEE). These are locations if the primary polling site cannot be used.",Open,,Database,Government Operations,"government operations, polling, elections, voting, boundary",,Yearly,Occasional Requests,http://opendata.dc.gov/datasets/alternate-polling-place,1698,Yes
4526,2018-03-11,,BOE,Board of Elections,BOE,Master Street Index (MSI),"The Master Street Index (MSI) table is the master street index used by BOE to determine voter's voter precinct, Single Member District, Advisory Neighborhood Commission and Ward based on their home address.  This table is updated periodically based on data in DC's Master Address Repository (MAR). DC's Master Address Repository is publicly available on open data: http://opendata.dc.gov/datasets/address-points .

More information about the MAR is available at: http://opendata.dc.gov/pages/addressing-in-dc",Public Not Proactively Released,"The agency has not invested the resources to publish this dataset since the data is drawn from the Washington DC's Master Address Repository, which is publicly available . At this time it would impose an undue financial or administrative burden on the agency to release.",Database,Government Operations,"government operations, voting, elections",,Quarterly,No Requests,,1699,No
4527,2018-03-11,,BOE,Board of Elections,BOE,Early Polling Places,This dataset contains points representing locations of early polling places during an election year. Please note that these are subject to change during an election year.,Open,,Database,Government Operations,"government operations, voting, polling, elections",,Yearly,Occasional Requests,http://opendata.dc.gov/datasets/early-polling-places,1700,Yes
4528,2018-03-11,,CFMB,"Office of Commission on Fathers, Men and Boys","Commission on Fathers, Men, and Boys",CFMB Books and Barbershops,"CFMB?s Books and Barbershops is a community visibility program that raises awareness about the value of academic mentoring, specifically in the area of early childhood literacy. For additional information please visit: https://cfmb.dc.gov/page/books-and-barbershops.",Open,,Database,Education,"education, barbershops, books, reading, literacy, early childhood education",,Static,NULL, https://cfmb.dc.gov/page/books-and-barbershops,1701,No
4529,2018-03-11,2018-02-01 00:00:00,DBH,Department of Behavioral Health,DBH,Summary substance use services data,A central database for the status of all users and their location for the OUC administered radio system.,Confidential,The dataset contains Personally Identifiable Information (PII) and  Protected Health Information (PHI) from agency's clients' electronic health records. If the information is released the PII and PHI information must be redacted.,Database,Health,"health, substance use, services",2005-01-01,Real-Time/Near Real-Time,Occasional Requests,,1702,No
4530,2018-03-11,2018-01-03 00:00:00,DBH,Department of Behavioral Health,DBH,Summary psychiatric hospital data,"A summary dataset of services provided by the public psychiatric hospital (Saint Elizabeths Hospital). Data aggregates the patient demographics, dates of service, type of service, diagnosis, medications.",Open,,Database,Health,"health, mental health, hospital, services; psychiatric",2005-01-01,Real-Time/Near Real-Time,Occasional Requests,,1703,No
4531,2018-03-11,2018-02-01 00:00:00,DBH,Department of Behavioral Health,DBH,Mental health clinical data,Contains clinical details about services received by mental health consumers.,Confidential,"Dataset contains Personally Identifiable Information (PII), Protected Health Information (PHI), including name, address, social security number, Medicaid number, and diagnosis.",Database,Health,"health, mental health, services",2014-10-01,Daily,Occasional Requests,,1704,No
4532,2018-03-11,2018-01-03 00:00:00,DBH,Department of Behavioral Health,DBH,Summary mental health services data,"Dataset used to report on the summary of services received by consumers of the public mental health system.  Data aggregates the consumer demographics, type of service, date of service, a provider of service, diagnosis, medications.",Open,,Other,Health,"health, mental health, services",2014-10-01,Weekly,Occasional Requests,,1705,No
4533,2018-03-11,,DBH,Department of Behavioral Health,DBH,CIO PD 251-c forms,Individual forms submitted by Crisis Intervention Officers regarding incidents with individuals exhibiting mental health or substance use issues.,Confidential,Forms contain Personally Identifiable Information (PII) with possible mental health or substance use issues and their interactions with Crisis Intervention Officers.,Database,Public Safety,"public safety, behavioral health, police",,Weekly,Occasional Requests,,1706,No
4534,2018-03-11,,DBH,Department of Behavioral Health,DBH,Mental health provider agencies,"Information about contracted agencies that provide mental health services, including locations and type of services provided",Open,,Database,Health,"health, mental health, providers",,Daily,Occasional Requests,,1707,No
4535,2018-03-11,2018-02-01 00:00:00,DBH,Department of Behavioral Health,DBH,Psychiatric hospital service data,Information about services provided to individuals admitted to Saint Elizabeths Hospital.,Confidential,The dataset contains Personally Identifiable Information (PII) and Protected Health Information (PHI) from consumers' electronic health records.,Database,Health,"health, mental health, hospital, services",2005-01-01,Daily,Occasional Requests,,1708,No
4536,2018-03-11,2018-02-01 00:00:00,DBH,Department of Behavioral Health,DBH,Substance use service providers,"Information about substance use treatment and recovery provider agencies, including locations and category of services provided.",Open,,Database,Health,"health, substance use, providers",2009-01-01,Daily,Occasional Requests,,1709,No
4537,2018-03-11,2018-02-01 00:00:00,DBH,Department of Behavioral Health,DBH,Mental health service claims data,"Information about the billable services provided to mental health consumers, including service type, service date, provider, number of units, and cost.",Confidential,The dataset contains Personally Identifiable Information (PII) and Protected Health Information (PHI) from consumers' electronic health records.,Database,Health,"health, mental health, services",2004-01-01,Daily,Occasional Requests,,1710,No
4538,2018-03-11,2018-02-01 00:00:00,DBH,Department of Behavioral Health,DBH,Psychiatric hospital staff,Names and credentials of staff working at Saint Elizabeths Hospital.,Open,,Database,Health,"health, mental health, hospital, staff",2005-01-01,Daily,Occasional Requests,,1711,No
4539,2018-03-11,2018-02-01 00:00:00,DBH,Department of Behavioral Health,DBH,Mental health staff,Names and credentials of staff working for DBH and contracted provider agencies. Only DC government employee data is public.,Open,The dataset contains names and demographics of employees,Database,Health,"health, behavioral health, staff",2014-10-01,Daily,Occasional Requests,,1712,No
