ACRONYM,AGENCYNAME,DATASETNAME,DATAOWNER,DATASETCATEGORYNAME,DATASETCLASSIFICATIONNAME,DATASETCLASSIFICATIONREASON,DATASETTYPENAME,EARLIESTDATEOFRECORDS,EDI_ID,PUBLICINTERESTNAME,KEYWORDS,UPDATEINTERVALNAME,OPENDATA_PORTAL
DCOZ,DC Office of Zoning,Overlay Zones,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3244,Frequent Requests,planningCadastre,Static,True
DCOZ,DC Office of Zoning,Planned Unit Development (PUDs),DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3245,Frequent Requests,planningCadastre,Yearly,True
DCOZ,DC Office of Zoning,Zoning Development Standards,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3246,Frequent Requests,planningCadastre,Yearly,True
DCOZ,DC Office of Zoning,Transfer of  Development Rights - Zoning,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3247,Frequent Requests,planningCadastre,Yearly,True
DCOZ,DC Office of Zoning,Zoning - 1958,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3248,Frequent Requests,planningCadastre,Yearly,True
DCOZ,DC Office of Zoning,Zoning,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,3249,Frequent Requests,planningCadastre,Yearly,True
DCOZ,DC Office of Zoning,Downtown Credit Trade Area,DSLBD,Business and Economic Development,Level 0,,Database,,3278,Frequent Requests,economy,Yearly,True
DCOZ,DC Office of Zoning,Zoning Case Exhibit Log,DCOZ,Planning Land Use and Zoning,Level 0,,Database,00:00.0,2105,Occasional Requests,"Planning, cadastre, land use, zoning",Real-Time/Near Real-Time,False
DCOZ,DC Office of Zoning,Zoning Query Layer,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,2106,Occasional Requests,"Zoning, Planning, Land Use, cadastre",Weekly,False
DCOZ,DC Office of Zoning,Zoning Commission and Board of Zoning Adjustment Transcripts,DCOZ,Planning Land Use and Zoning,Level 0,,Database,00:00.0,2107,Occasional Requests,"zoning, planning, land use",Weekly,False
DCOZ,DC Office of Zoning,Zoning Development Standards,DCOZ,Planning Land Use and Zoning,Level 0,,Database,,2108,Occasional Requests,"Planning, Land Use, Zoning",Static,False
DCOZ,DC Office of Zoning,Zoning Case Record,DCOZ,Planning Land Use and Zoning,Level 0,,Database,00:00.0,2109,Occasional Requests,"Planning, Zoning, Land Use",Daily,False
DCOZ,DC Office of Zoning,ZC and BZA Meeting/Hearing Calendar and Results,DCOZ,Planning Land Use and Zoning,Level 0,,Database,00:00.0,2110,Unknown,"planning, zoning, land use",Real-Time/Near Real-Time,False
DCPCSB,DC Public Charter School Board,Charter Schools,DCPCSB,Education,Level 0,,Database,,3250,Frequent Requests,society,Yearly,True
SCDC,DC Sentencing and Criminal Code Revision Commission,Public Counts Dataset,District of Columbia Sentencing Commission,Public Safety,Level 0,Classified as Level 0 dataset.,Spreadsheet,00:00.0,2193,Frequent Requests,"public safety,criminal justice,court,case,sentencing,felony",Yearly,False
SBOE,DC State Board of Education,Public Facing Data - Aggregate of Complaints Data,Office of the Ombudsman for Public Education,Education,Level 0,,Database,00:00.0,2190,Frequent Requests,"education, systemic recommendation",Quarterly,False
SBOE,DC State Board of Education,Public Facing Data,Office of the Ombudsman for Public Education,Education,Level 0,,Other,,3204,No Info,education,Quarterly,False
DCWATER,DC Water,Storm Sewer System,DCWATER,Environment,Level 0,,Database,,2430,Frequent Requests,environment,Yearly,True
DCWATER,DC Water,Fire Hydrants,DCWATER,Public Safety,Level 0,,Database,,2431,Frequent Requests,public Safety,Static,True
DBH,Department of Behavioral Health,Summary psychiatric hospital data,DBH,Health and Human Services,Level 0,,Database,00:00.0,2077,Occasional Requests,"health, mental health, hospital, services; psychiatric",Real-Time/Near Real-Time,False
DBH,Department of Behavioral Health,Summary mental health services data,DBH,Health and Human Services,Level 0,,Other,00:00.0,2079,Occasional Requests,"health, mental health, services",Weekly,False
DBH,Department of Behavioral Health,Psychiatric hospital staff,DBH,Health and Human Services,Level 0,,Database,00:00.0,2085,Occasional Requests,"health, mental health, hospital, staff",Daily,False
DBH,Department of Behavioral Health,Mental health staff,DBH,Health and Human Services,Level 0,The dataset contains names and demographics of employees,Database,00:00.0,2086,Occasional Requests,"health, behavioral health, staff",Daily,False
DBH,Department of Behavioral Health,Substance use provider agency staff,DBH,Health and Human Services,Level 0,Contains names of and information about employees.,Database,00:00.0,2087,Occasional Requests,"health, substance use, staff",Daily,False
DBH,Department of Behavioral Health,Crisis Intervention Officer Roster,DBH,Public Safety,Level 0,The roster contains the names and CADs of MPD and other agency officers trained through the CIO program.  Only DC government employees' information would be public.,Database,00:00.0,2089,Occasional Requests,"public safety, behavioral health, police",Quarterly,False
DBH,Department of Behavioral Health,Mental Health and Substance Use Providers,DBH,Public Services,Level 0,Data is at the provider level,Database,00:00.0,3233,Frequent Requests,public Services; mental health; diagnostic assessment; medication; counseling; community support,Monthly,True
DCRA,Department of Consumer Regulatory Affairs,Basic Business Licenses,DCRA,Business and Economic Development,Level 0,,Database,,3272,Frequent Requests,economy,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Certificate of Occupancy,Zoning Division,Planning Land Use and Zoning,Level 0,,Database,00:00.0,2209,Occasional Requests,"cofo, Certificate of Occupancy",Monthly,False
DCRA,Department of Consumer Regulatory Affairs,Active Business Licenses in the District,Business Licensing Division,Business and Economic Development,Level 0,,Database,00:00.0,2210,Frequent Requests,"economy, Active Business License",Daily,False
DCRA,Department of Consumer Regulatory Affairs,Permits Issued,Permit Operations Division,Business and Economic Development,Level 0,,Database,00:00.0,2211,Frequent Requests,"Permits, Issue",Monthly,False
DCRA,Department of Consumer Regulatory Affairs,Mobile Roadway Vehicle (MRV) Vending Lottery Results,Vending Division,Business and Economic Development,Level 0,,Other,00:00.0,2213,Frequent Requests,"economy, Vending, Food Truck, Vendors",Monthly,False
DCRA,Department of Consumer Regulatory Affairs,Corporations,Corporations Division,Government Operations,Level 0,,Other,00:00.0,2214,Frequent Requests,government operations,Daily,False
DCRA,Department of Consumer Regulatory Affairs,Property Maintenance Inspections (Proactive Inspections),Property Maintenance Inspections,Public Safety,Level 0,,Other,00:00.0,2215,Frequent Requests,"public safety, Housing Inspection, Proactive Inspection, Property Maintenance",Monthly,False
DCRA,Department of Consumer Regulatory Affairs,Vacant Buildings List Transmitted to OTR,Vacant Buildings Division,Business and Economic Development,Level 0,,Other,00:00.0,2216,Occasional Requests,"economy, Registered Vacant Building",Yearly,False
DCRA,Department of Consumer Regulatory Affairs,Blighted Buildings List Transmitted to OTR,Vacant Buildings Division,Business and Economic Development,Level 0,,Other,00:00.0,2217,Occasional Requests,"economy, Blighted Buildings",Yearly,False
DCRA,Department of Consumer Regulatory Affairs,Air Rights Lots Point,DCRA,Property and Land,Level 0,,Database,,2403,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Air Rights Lots Polygons,DCRA,Property and Land,Level 0,,Database,,2404,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Alley Frontage Lines,DCRA,Property and Land,Level 0,,Database,,2405,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Tax Lots Polygons,DCRA,Property and Land,Level 0,,Database,,2406,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Condo Approval Lots,DCRA,Property and Land,Level 0,,Database,,2407,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Tax Lots Polygon History,DCRA,Property and Land,Level 0,,Database,,2408,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Highway Plan Lines,DCRA,Transportation,Level 0,,Database,,2409,Frequent Requests,transportation,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Parcel Lots Polygon History,DCRA,Property and Land,Level 0,,Database,,2410,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Record Lots Polygon History,DCRA,Property and Land,Level 0,,Database,,2411,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Reservations Polygon History,DCRA,Property and Land,Level 0,,Database,,2412,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Air Rights Lots Polygon History,DCRA,Property and Land,Level 0,,Database,,2413,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Parcel Lots Point,DCRA,Property and Land,Level 0,,Database,,2414,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Square Boundaries,DCRA,Property and Land,Level 0,,Database,,2415,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Square Points,DCRA,Property and Land,Level 0,,Database,,2416,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Building Permits,DCRA,Public Services,Level 0,,Database,,2417,Frequent Requests,public Services,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Public Easements,DCRA,Property and Land,Level 0,,Database,,2418,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Reservations Polygon,DCRA,Property and Land,Level 0,,Database,,2419,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Record Lots Point,DCRA,Property and Land,Level 0,,Database,,2420,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Record Lots Polygon,DCRA,Property and Land,Level 0,,Database,,2421,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Reservations Point,DCRA,Property and Land,Level 0,,Database,,2422,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Sidewalk Cafe,DCRA,Business and Economic Development,Level 0,,Database,,2423,Frequent Requests,economy,Static,True
DCRA,Department of Consumer Regulatory Affairs,Parcel Lots Polygon,DCRA,Property and Land,Level 0,,Database,,2424,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Building Restriction Lines,DCRA,Property and Land,Level 0,,Database,,2425,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Owner Polygons (Common Ownership Layer),DCRA,Property and Land,Level 0,,Database,,2426,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,"Condo Tables - Relate, Regime, and One to Many",DCRA,Property and Land,Level 0,,Database,,2427,Frequent Requests,planningCadastre,Yearly,True
DCRA,Department of Consumer Regulatory Affairs,Tax Lots Point,DCRA,Property and Land,Level 0,,Database,,2428,Frequent Requests,planningCadastre,Static,True
DCRA,Department of Consumer Regulatory Affairs,Owner linework derived from owner polygons,DCRA,Property and Land,Level 0,,Database,,2429,Frequent Requests,planningCadastre,Yearly,True
DOC,Department of Corrections,Short Term Sentenced Felons 2013 to 2016,DOC,Public Safety,Level 0,,Database,,3038,Frequent Requests,public safety; DOC; FBOP Short Term Sentenced Felons; STSF Daily counts; DOC Daily population counts;  DOC Facility Daily Counts;,Static,True
DOC,Department of Corrections,Incarceration Daily Counts from FY 2011 to June FY 2016,DOC,Public Safety,Level 0,,Database,,3039,Frequent Requests,public safety; DOC; DOC Daily counts; DOC Daily population counts;  DOC Facility Daily Counts;,Static,True
DFHV,Department of For-Hire Vehicles,Taxi cab trip information,DFHV,Transportation,Level 0,,Database,,3261,Frequent Requests,transportation,Yearly,True
DGS,Department of General Services,DC Government Locations,DGS,Public Services,Level 0,,Database,,3262,Frequent Requests,public Services,Static,True
DGS,Department of General Services,Vendor invoice and payment system,DGS Resource Allocation,Public Services,Level 0,Contracts are published publicly.,Other,00:00.0,1988,Occasional Requests,public service,Daily,False
DGS,Department of General Services,Work order management and ticketing system,DGS Facilities,Facility and Structure,Level 0,Service tickets are available upon request.,Other,,1989,No Requests,structure,Daily,False
DGS,Department of General Services,Secure print management data,DGS Information Technology,Government Operations,Level 0,,Database,,1991,No Requests,government operations,Daily,False
DGS,Department of General Services,Contractor performance management data,DGS Contract and Procurement,Government Operations,Level 0,Contracts are published publicly.,Database,,1993,No Requests,government operations,Daily,False
DGS,Department of General Services,Construction project management data - ProLog,DGS Capital Construction,Facility and Structure,Level 0,Portion of application is published publicly for vendor submission. May contain data that may have legal restraints.,Unknown,,2606,No Requests,"invoice, facility",Daily,False
DOH,Department of Health,Nursing Homes,DOH - Health Regulation And Licensing Administration ,Health and Human Services,Level 0,,Database,,2674,No Info,health,Unknown,True
DOH,Department of Health,Hospice,DOH - Health Regulation And Licensing Administration ,Health and Human Services,Level 0,,Database,,2675,No Info,health,Unknown,False
DOH,Department of Health,Maternity Centers,DOH - Health Regulation And Licensing Administration ,Health and Human Services,Level 0,,Database,,2676,No Info,health,Unknown,False
DOH,Department of Health,Outpatient Speech and Physical Therapy,DOH - Health Regulation And Licensing Administration ,Health and Human Services,Level 0,,Database,,2677,No Info,health,Unknown,False
DOH,Department of Health,Tissue Banks,DOH - Health Regulation And Licensing Administration ,Health and Human Services,Level 0,,Database,,2678,No Info,health,Unknown,False
DOH,Department of Health,Home Health Agencies,DOH - Health Regulation And Licensing Administration ,Health and Human Services,Level 0,,Database,,2679,No Info,health,Unknown,False
DOH,Department of Health,Ambulatory Surgical Centers,DOH,Health and Human Services,Level 0,,Database,,3052,Frequent Requests,health,Yearly,True
DOH,Department of Health,Dialysis Clinics,DOH,Health and Human Services,Level 0,,Database,,3053,Frequent Requests,public Safety,Static,True
DOH,Department of Health,HIV/AIDS Clinic,"DOH - HIV/AIDS, Hepatitis, STD and TB Administration (HAHSTA)",Health and Human Services,Level 0,,Database,,3054,Frequent Requests,health,Yearly,True
DOH,Department of Health,Hospitals,DOH,Health and Human Services,Level 0,,Database,,3055,Frequent Requests,public Safety,Yearly,True
DOH,Department of Health,Primary Care Facilities,DOH,Health and Human Services,Level 0,,Database,,3056,Frequent Requests,health,Yearly,True
DOH,Department of Health,Yellow Fever Permits,DOH - Pharmaceutical Control Division,Health and Human Services,Level 0,,Unknown,,2972,No Info,health,Daily,False
DOH,Department of Health,Food Establishment Safety Inspections,DOH - Food Safety,Health and Human Services,Level 0,,Other,00:00.0,1848,Frequent Requests,"health, food safety, inspection,",Daily,False
DOH,Department of Health,Pharmacy Locations,DOH,Business and Economic Development,Level 0,,Database,,3346,Frequent Request,"Business, pharmacy, medical, health, medication, prescription, doctor, dcgis, dc, gis",Yearly,True
DOH,Department of Health,Intermediate Care Facilities,DOH,Health and Human Services,Level 0,,Database,,3331,Frequent Request,"society, health care, facility ",Yearly,True
DCHR,Department of Human Resources,Salaries,DCHR-Human Resources Solution Administration,Government Operations,Level 0,,Database,,2094,No Info," salaries, salary",Quarterly,False
DCHR,Department of Human Resources,Salary Schedules,DCHR-Strategic Human Capital,Government Operations,Level 0, ,Database,00:00.0,2996,No Info,"salary schedule, grade, step",Real-Time/Near Real-Time,False
DHS,Department of Human Services,DHS Family Services Administration Supplies Inventory Management,DHS OIS ASD III,Government Operations,Level 0,None,Database,00:00.0,3487,Occasional Requests,"Supplies, FSA, Inventory, Disbursed",Real-Time/Near Real-Time,False
DHS,Department of Human Services,Homeless Service Facilities ,DHS,Public Services,Level 0,None,Database,00:00.0,3327,Frequent Request,"human, services, healthcare, shelter, homeless, society, structure, health",Yearly,True
DHS,Department of Human Services,Human Services Catchment Area,DHS,Government Operations,Level 0,None,Database,00:00.0,3328,Frequent Request,society,Yearly,True
DHS,Department of Human Services,Human Service Locations,DHS,Public Services,Level 0,None,Database,00:00.0,3263,Frequent Requests,public Services,Yearly,True
DHS,Department of Human Services,DHS Service Centers,DHS,Public Services,Level 0,None,Database,00:00.0,3265,Frequent Requests,Public Services,Yearly,True
DHS,Department of Human Services,Homeless shelters,DHS,Public Safety,Level 0,None,Database,00:00.0,3266,Frequent Requests,public Safety,Static,True
DHS,Department of Human Services,Homeless Facility Shuttle Stops,DHS,Public Services,Level 0,None,Database,00:00.0,3267,Frequent Requests,public Services,Static,True
DISB,Department of Insurance Securities and Banking,Bank Locations,DCISB,Business and Economic Development,Level 0,,Database,,3268,Frequent Requests,economy,Static,True
DISB,Department of Insurance Securities and Banking,Check Casher Locations,DCISB,Business and Economic Development,Level 0,,Database,,3269,Frequent Requests,economy,Static,True
DISB,Department of Insurance Securities and Banking,Non Depository banks,DISB,Business and Economic Development,Level 0,,Database,,3271,Frequent Requests,economy,Static,True
DISB,Department of Insurance Securities and Banking,Automated Teller Machines,DISB,Business and Economic Development,Level 0,,Database,,3273,Frequent Requests,economy,Yearly,True
DMV,Department of Motor Vehicles,Ticket information - Individual,DC DMV,Transportation,Level 0,,Database,00:00.0,1755,Unknown,transportation,Daily,False
DMV,Department of Motor Vehicles,Ticket information - Business,DC DMV,Transportation,Level 0,,Database,00:00.0,1756,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Reciprocity parking permit information,DC DMV,Transportation,Level 0,,Database,00:00.0,1757,Unknown,transportation,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Vehicle registered owner address information - Business,DC DMV,Transportation,Level 0,,Database,00:00.0,1759,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Vehicle title owner address information - Business,DC DMV,Transportation,Level 0,,Database,00:00.0,1760,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Personalized Plate ONLY information,DC DMV,Transportation,Level 0,,Database,00:00.0,1764,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Vehicle registration information,DC DMV,Transportation,Level 0,,Database,00:00.0,1767,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,Withdrawals information,DC DMV,Transportation,Level 0,,Database,00:00.0,1769,Unknown,Public Safety,Real-Time/Near Real-Time,False
DMV,Department of Motor Vehicles,DMV Service Locations,DMV,Transportation,Level 0,,Database,,3032,Frequent Requests,"society, structure",Yearly,True
DMV,Department of Motor Vehicles,Moving Violations,DMV,Public Safety,Level 0,,Database,,3035,Frequent Requests,public Safety,Yearly,True
DMV,Department of Motor Vehicles,Parking Violations,DMV,Public Safety,Level 0,,Database,,3036,Frequent Requests,public Safety,Yearly,True
DPR,Department of Parks and Recreation,Parks and Recreation Areas,DPR,Recreation,Level 0,,Database,,3344,Frequent Request,"Recreation Facility, Government, Facility Recreation ,Properties Amenities ,Recreation Center",Yearly,True
DPR,Department of Parks and Recreation,DC Parks,DPR,Recreation,Level 0,,Database,,3057,Frequent Requests,recreation,Static,True
DPR,Department of Parks and Recreation,Recreation Facilities,DPR,Recreation,Level 0,,Database,,3058,Frequent Requests,recreation,Static,True
DPR,Department of Parks and Recreation,Tennis Court Sites,DPR,Recreation,Level 0,,Database,,3059,Frequent Requests,"recreation, tennis courts",Yearly,True
DPR,Department of Parks and Recreation,Site Attendance (Outdoor Pools),Office of the Director,Recreation,Level 0,,Database,00:00.0,2882,Occasional Requests,"recreation, aquatics, attendance",Weekly,False
DPR,Department of Parks and Recreation,DPR Properties,Capital Projects Division,Property and Land,Level 0,,Database,00:00.0,2890,Occasional Requests,"recreation, property, location",Yearly,False
DPR,Department of Parks and Recreation,Facebook Data,Facebook,Utility and Communication,Level 0,,Other,00:00.0,2891,Occasional Requests,"recreation, Facebook, demographics",Daily,False
DPR,Department of Parks and Recreation,Partnerships List,Partnerships & Development Division,Government Operations,Level 0,,Other,00:00.0,2892,Occasional Requests,"recreation, operations, sponsors",Monthly,False
DPR,Department of Parks and Recreation,DPR Survey Results,Survey Monkey,Government Operations,Level 0,,Other,00:00.0,2899,Frequent Requests,"recreation, customer, aquatics",Daily,False
DPR,Department of Parks and Recreation,Twitter Data,Twitter,Utility and Communication,Level 0,,Other,00:00.0,2900,Occasional Requests,"recreation, twitter",Daily,False
DPR,Department of Parks and Recreation,Program Needs Results,Office of the Director,Recreation,Level 0,,Database,00:00.0,2901,Occasional Requests,"recreation, programs, needs",Static,False
DPR,Department of Parks and Recreation,Nixle Alerts,Nixle,Government Operations,Level 0,,Other,00:00.0,1849,No Requests,"recreation, nixle, alerts",Daily,False
DPR,Department of Parks and Recreation,Program Quality Assessment (PQA) Scores,Programs Division,Recreation,Level 0,,Database,00:00.0,1850,Occasional Requests,"recreation, program, quality",Quarterly,False
DPR,Department of Parks and Recreation,Site Attendance (Aquatic Centers),Office of the Director,Recreation,Level 0,,Database,00:00.0,1851,Occasional Requests,"recreation, aquatics, attendance",Monthly,False
DPR,Department of Parks and Recreation,Site Attendance (Recreation Centers),Office of the Director,Recreation,Level 0,,Database,00:00.0,2366,Occasional Requests,"recreation, facilities, attendance",Monthly,False
